FDT36, 12.300000190734863, NLow Fat, 0.11144759505987167, NBaking ods, 33.487400054931641, NOUT049, 1999, NMedium, NULL, NSupermarket Type1, 436.60873413085938
FDT36, 12.300000190734863, NLow Fat, 0.11190400272607803, NBaking ods, 33.987400054931641, NOUT017, 2007, NMedium, NTier 2, NSupermarket Type1, 443.12771606445312
FDT36, 12.300000190734863, NLF, 0.11172787845134735, NBaking ods, 33.987400054931641, NOUT018, 2009, NMedium, NTier 3, NSupermarket Type2, 564.598388671875
FDT36, 12.300000190734863, NLow Fat, 0, NBaking ods, 34.387401580810547, NOUT019, 1985, NULL, NULL, NGrocery Store, 1719.3699951171875
FDP12, 9.8000001907348633, NRegular, 0.04552285373210907, NBaking ods, 35.087398529052734, NOUT017, 2007, NMedium, NTier 2, NSupermarket Type1, 352.87399291992188
FDT36, 12.300000190734863, NLow Fat, 0.1112745925784111, NBaking ods, 35.087398529052734, NOUT046, 1997, NULL, NULL, NSupermarket Type1, 458.7362060546875
FDQ36, 7.8550000190734863, NRegular, 0.16141299903392792, NBaking ods, 35.2848014831543, NOUT013, 1987, NHigh, NTier 3, NSupermarket Type1, 299.3350830078125
FDT36, 7.8550000190734863, NLow Fat, 0.11073573678731918, NBaking ods, 35.287399291992188, NOUT027, 1985, NMedium, NTier 3, NSupermarket Type3, 988.04718017578125
FDQ36, 7.8550000190734863, NRegular, 0.16187506914138794, NBaking ods, 35.684799194335938, NOUT045, 2002, NULL, NTier 2, NSupermarket Type1, 335.56320190429688
FDT36, 12.300000190734863, NLow Fat, 0.11150025576353073, NBaking ods, 35.687400817871094, NOUT045, 2002, NULL, NTier 2, NSupermarket Type1, 846.8975830078125
FDP12, 9.8000001907348633, NRegular, 0.04525824636220932, NBaking ods, 35.987400054931641, NOUT035, 2004, NULL, NTier 2, NSupermarket Type1, 282.2991943359375
FDT36, 12.300000190734863, NLow Fat, 0.11125355213880539, NBaking ods, 36.087398529052734, NOUT035, 2004, NULL, NTier 2, NSupermarket Type1, 483.82376098632812
FDP12, 9.8000001907348633, NRegular, 0.045358609408140182, NBaking ods, 36.187400817871094, NOUT045, 2002, NULL, NTier 2, NSupermarket Type1, 423.44879150390625
FDQ36, 7.8550000190734863, NRegular, 0.16220551729202271, NBaking ods, 36.2848014831543, NOUT018, 2009, NMedium, NTier 3, NSupermarket Type2, 1155.828857421875
FDP12, 9.8000001907348633, NRegular, 0.045451205223798752, NBaking ods, 36.287399291992188, NOUT018, 2009, NMedium, NTier 3, NSupermarket Type2, 384.06582641601562
FDP12, 5.7649998664855957, NRegular, 0.045047599822282791, NBaking ods, 36.487400054931641, NOUT027, 1985, NMedium, NTier 3, NSupermarket Type3, 809.974365234375
FDW23, 5.7649998664855957, NLow Fat, 0.0819440484046936, NBaking ods, 36.716400146484375, NOUT013, 1987, NHigh, NTier 3, NSupermarket Type1, 849.560791015625
FDP12, 9.8000001907348633, NRegular, 0.045337185263633728, NBaking ods, 36.887401580810547, NOUT049, 1999, NMedium, NULL, NSupermarket Type1, 564.598388671875
FDP12, 9.8000001907348633, NRegular, 0.045266807079315186, NBaking ods, 36.987400054931641, NOUT046, 1997, NULL, NULL, NSupermarket Type1, 705.74798583984375
FDW23, 5.7649998664855957, NLow Fat, 0.082178615033626556, NBaking ods, 37.016399383544922, NOUT045, 2002, NULL, NTier 2, NSupermarket Type1, 540.62957763671875
FDQ36, 7.8550000190734863, NRegular, 0.16151688992977142, NBaking ods, 37.084800720214844, NOUT035, 2004, NULL, NTier 2, NSupermarket Type1, 447.4176025390625
FDP12, 9.8000001907348633, NRegular, 0.045229136943817139, NBaking ods, 37.187400817871094, NOUT013, 1987, NHigh, NTier 3, NSupermarket Type1, 386.30270385742188
FDW23, 5.7649998664855957, NLow Fat, 0.082139797508716583, NBaking ods, 37.216400146484375, NOUT049, 1999, NMedium, NULL, NSupermarket Type1, 579.2459716796875
FDQ36, 7.8550000190734863, NRegular, 0.16179861128330231, NBaking ods, 37.2848014831543, NOUT049, 1999, NMedium, NULL, NSupermarket Type1, 745.69598388671875
FDT36, 12.300000190734863, NLow Fat, 0.18625085055828095, NBaking ods, 37.287399291992188, NOUT010, 1998, NMedium, NTier 3, NGrocery Store, 176.43699645996094
FDT36, 12.300000190734863, NLow Fat, 0, NBaking ods, 37.287399291992188, NOUT013, 1987, NHigh, NTier 3, NSupermarket Type1, 705.74798583984375
FDW23, 12.300000190734863, NLow Fat, 0.14359293878078461, NBaking ods, 37.316398620605469, NOUT019, 1985, NULL, NULL, NGrocery Store, 38.616401672363281
FDW23, 5.7649998664855957, NLow Fat, 0.082012295722961426, NBaking ods, 37.516399383544922, NOUT046, 1997, NULL, NULL, NSupermarket Type1, 656.47882080078125
FDQ36, 7.8550000190734863, NRegular, 0, NBaking ods, 38.184799194335938, NOUT019, 1985, NULL, NULL, NGrocery Store, 37.2848014831543
FDQ36, 7.8550000190734863, NRegular, 0, NBaking ods, 38.384799957275391, NOUT046, 1997, NULL, NULL, NSupermarket Type1, 932.1199951171875
FDW23, 5.7649998664855957, NLow Fat, 0.0816151425242424, NBaking ods, 38.616401672363281, NOUT027, 1985, NMedium, NTier 3, NSupermarket Type3, 473.15237426757812
FDW23, 5.7649998664855957, NLow Fat, 0.0824761912226677, NBaking ods, 38.816398620605469, NOUT017, 2007, NMedium, NTier 2, NSupermarket Type1, 239.44090270996094
FDW23, 5.7649998664855957, NLow Fat, 0.0823463723063469, NBaking ods, 38.816398620605469, NOUT018, 2009, NMedium, NTier 3, NSupermarket Type2, 237.20314025878906
FDQ36, 5.7649998664855957, NRegular, 0.160765141248703, NBaking ods, 39.084800720214844, NOUT027, 1985, NMedium, NTier 3, NSupermarket Type3, 243.11738586425781
FDQ36, 7.8550000190734863, NRegular, 0.16246122121810913, NBaking ods, 39.2848014831543, NOUT017, 2007, NMedium, NTier 2, NSupermarket Type1, 857.5504150390625
FDM60, 10.800000190734863, NRegular, 0, NBaking ods, 39.313800811767578, NOUT013, 1987, NHigh, NTier 3, NSupermarket Type1, 1015.344970703125
FDM60, 10.800000190734863, NRegular, 0.080582000315189362, NBaking ods, 39.413799285888672, NOUT010, 1998, NMedium, NTier 3, NGrocery Store, 451.20916748046875
FDM60, 10.800000190734863, NRegular, 0.047910157591104507, NBaking ods, 39.813800811767578, NOUT027, 1985, NMedium, NTier 3, NSupermarket Type3, 831.00958251953125
FDR36, 6.7150001525878906, NRegular, 0.121586374938488, NBaking ods, 40.0453987121582, NOUT046, 1997, NULL, NULL, NSupermarket Type1, 285.03915405273438
FDW23, 5.7649998664855957, NLow Fat, 0.08199678361415863, NBaking ods, 40.116401672363281, NOUT035, 2004, NULL, NTier 2, NSupermarket Type1, 540.62957763671875
FDM60, 10.800000190734863, NRegular, 0.048143293708562851, NBaking ods, 40.213798522949219, NOUT046, 1997, NULL, NULL, NSupermarket Type1, 690.4345703125
FDR36, 6.7150001525878906, NRegular, 0.12148519605398178, NBaking ods, 40.245399475097656, NOUT013, 1987, NHigh, NTier 3, NSupermarket Type1, 587.235595703125
FDM60, 10.800000190734863, NRegular, 0.04813418909907341, NBaking ods, 40.313800811767578, NOUT035, 2004, NULL, NTier 2, NSupermarket Type1, 461.51239013671875
FDR36, 6.7150001525878906, Nreg, 0.12227411568164825, NBaking ods, 40.345401763916016, NOUT017, 2007, NMedium, NTier 2, NSupermarket Type1, 838.90802001953125
FDM60, 10.800000190734863, NRegular, 0.0842926874756813, NBaking ods, 40.613800048828125, NOUT019, 1985, NULL, NULL, NGrocery Store, 481.81875610351562
FDM60, 10.800000190734863, NRegular, 0, NBaking ods, 40.713798522949219, NOUT017, 2007, NMedium, NTier 2, NSupermarket Type1, 406.13800048828125
FDM60, 10.800000190734863, NRegular, 0.048240929841995239, NBaking ods, 41.013801574707031, NOUT045, 2002, NULL, NTier 2, NSupermarket Type1, 469.52597045898438
FDR36, 6.7150001525878906, NRegular, 0.20351067185401917, NBaking ods, 41.0453987121582, NOUT010, 1998, NMedium, NTier 3, NGrocery Store, 251.67239379882813
FDM60, 10.800000190734863, NRegular, 0.04833940789103508, NBaking ods, 41.513801574707031, NOUT018, 2009, NMedium, NTier 3, NSupermarket Type2, 446.75180053710938
FDM60, 10.800000190734863, NRegular, 0.048218142241239548, NBaking ods, 42.213798522949219, NOUT049, 1999, NMedium, NULL, NSupermarket Type1, 690.4345703125
FDR36, 6.7150001525878906, NRegular, 0.12177541106939316, NBaking ods, 43.0453987121582, NOUT049, 1999, NMedium, NULL, NSupermarket Type1, 303.50234985351562
FDO60, 20, NLow Fat, 0.057527545839548111, NBaking ods, 43.108600616455078, NOUT010, 1998, NMedium, NTier 3, NGrocery Store, 89.217201232910156
FDO60, 20, NLow Fat, 0.034203093498945236, NBaking ods, 43.308601379394531, NOUT027, 1985, NMedium, NTier 3, NSupermarket Type3, 624.5203857421875
FDO60, 20, NLow Fat, 0, NBaking ods, 43.408599853515625, NOUT018, 2009, NMedium, NTier 3, NSupermarket Type2, 401.47738647460938
FDO60, 20, NLow Fat, 0.0343630276620388, NBaking ods, 43.508598327636719, NOUT035, 2004, NULL, NTier 2, NSupermarket Type1, 401.47738647460938
FDR36, 6.7150001525878906, NRegular, 0.1218329593539238, NBaking ods, 43.5453987121582, NOUT045, 2002, NULL, NTier 2, NSupermarket Type1, 838.90802001953125
FDR36, 6.7150001525878906, NRegular, 0.1209975853562355, NBaking ods, 43.645401000976562, NOUT027, 1985, NMedium, NTier 3, NSupermarket Type3, 360.71298217773438
FDK24, 9.1949996948242188, NLow Fat, 0, NBaking ods, 43.674400329589844, NOUT018, 2009, NMedium, NTier 3, NSupermarket Type2, 407.4696044921875
FDO60, 20, NLow Fat, 0.034369528293609619, NBaking ods, 43.708599090576172, NOUT046, 1997, NULL, NULL, NSupermarket Type1, 892.1719970703125
FDR36, 6.7150001525878906, NRegular, 0.1215633824467659, NBaking ods, 43.745399475097656, NOUT035, 2004, NULL, NTier 2, NSupermarket Type1, 545.29022216796875
FDR36, 6.7150001525878906, NRegular, 0.12208166718482971, NBaking ods, 43.845401763916016, NOUT018, 2009, NMedium, NTier 3, NSupermarket Type2, 320.91983032226562
FDO60, 20, NLow Fat, 0.034422963857650757, NBaking ods, 44.408599853515625, NOUT049, 1999, NMedium, NULL, NSupermarket Type1, 976.98919677734375
FDK24, 9.1949996948242188, NLow Fat, 0.10121064633131027, NBaking ods, 44.474399566650391, NOUT013, 1987, NHigh, NTier 3, NSupermarket Type1, 433.4786376953125
